candidate_rank,scenario,strategy,group_column,n_splits,is_domain_aware,feature_set,scaler,reducer,n_neighbors,weights,metric,algorithm,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,worst_fold_accuracy,worst_fold_macro_f1,status,error
1,stratified_kfold,StratifiedKFold,,4,False,lowfreq_all_plus_waveform_spectral,standard,"{'type': 'select_k_best', 'k': 1024}",7,uniform,minkowski,brute,0.7582857142857142,0.013334013588089177,0.7582611847432232,0.013192093327604513,0.7382857142857143,0.7387013011200164,ok,
1,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,standard,"{'type': 'select_k_best', 'k': 1024}",7,uniform,minkowski,brute,0.16115573519916854,0.07801986001070697,0.10888095120896285,0.0338785439363059,0.050855085508550855,0.062052866857356684,ok,
2,stratified_kfold,StratifiedKFold,,4,False,lowfreq_all_plus_waveform_spectral,none,"{'type': 'select_k_best', 'k': 64}",21,uniform,euclidean,kd_tree,0.7477142857142858,0.008566665343179953,0.7480692816625794,0.008570536205686567,0.7405714285714285,0.7410461965637186,ok,
2,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,none,"{'type': 'select_k_best', 'k': 64}",21,uniform,euclidean,kd_tree,0.11186644848410256,0.05348779395555321,0.08526902103243494,0.028772218641206368,0.04095409540954095,0.04494163968005731,ok,
3,stratified_kfold,StratifiedKFold,,4,False,hybrid_spectral_band16,robust,"{'type': 'variance_threshold', 'threshold': 0.0}",3,uniform,euclidean,auto,0.7408571428571429,0.004615855548972431,0.7410060526050772,0.004646815055555955,0.7348571428571429,0.7350189286634033,ok,
3,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,hybrid_spectral_band16,robust,"{'type': 'variance_threshold', 'threshold': 0.0}",3,uniform,euclidean,auto,0.15884169520476024,0.07735346440533127,0.10996969801716112,0.03141940757650246,0.061656165616561655,0.06585880242894614,ok,
4,stratified_kfold,StratifiedKFold,,4,False,spectral_stats,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",21,distance,cosine,brute,0.7408571428571428,0.009471762545286155,0.7403899251982471,0.009945384600646,0.7308571428571429,0.730405662740657,ok,
4,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,spectral_stats,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",21,distance,cosine,brute,0.16976028082650885,0.08408566420845844,0.11642626887129988,0.03735893387105551,0.050855085508550855,0.06999765233933582,ok,
5,stratified_kfold,StratifiedKFold,,4,False,lowfreq_all_plus_waveform_spectral,standard_l2,"{'type': 'variance_threshold', 'threshold': 0.0}",3,uniform,cosine,brute,0.7377142857142858,0.004965184913423633,0.7377003780786096,0.004835138713405306,0.7297142857142858,0.730085737205129,ok,
5,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,standard_l2,"{'type': 'variance_threshold', 'threshold': 0.0}",3,uniform,cosine,brute,0.17896724292803348,0.07123110474996346,0.12671388198738578,0.025687010958962635,0.07875787578757876,0.092007909013107,ok,
