candidate_rank,scenario,strategy,group_column,n_splits,is_domain_aware,feature_set,scaler,reducer,n_neighbors,weights,metric,algorithm,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,worst_fold_accuracy,worst_fold_macro_precision,worst_fold_macro_f1,worst_fold_weighted_f1,status,error
1,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_waveform_spectral,robust,"{'type': 'select_k_best', 'k': 64}",7,uniform,manhattan,auto,0.8300000000000001,0.008096638534327436,0.8315575772995537,0.007328522420512216,0.8305814164977695,0.00774272654981528,0.8305814164977697,0.0077427265498152716,0.8216666666666667,0.82431882216902,0.8227059636058426,0.8227059636058427,ok,
1,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,robust,"{'type': 'select_k_best', 'k': 64}",7,uniform,manhattan,auto,0.41853947787878276,0.4102681150067521,0.2563777394387199,0.17079042507703168,0.19775959018813705,0.17630879496228277,0.44663129046135447,0.41039469722182537,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,ok,
2,stratified_kfold,StratifiedKFold,,5,False,waveform_spectral_stats,minmax,"{'type': 'pca_components', 'value': 44}",41,distance,minkowski,brute,0.82,0.006912147117775916,0.8239545781381594,0.007154333753848109,0.8211835108825756,0.006815708881120212,0.8211835108825756,0.006815708881120151,0.8116666666666666,0.8153190186027017,0.8131907849130783,0.8131907849130784,ok,
2,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,waveform_spectral_stats,minmax,"{'type': 'pca_components', 'value': 44}",41,distance,minkowski,brute,0.24242791724865698,0.1905905911913295,0.23098654943214528,0.14947903453264533,0.12233987164869137,0.08387393189794493,0.31844293239544547,0.2713843239247463,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,ok,
3,stratified_kfold,StratifiedKFold,,5,False,waveform_spectral_stats,minmax,"{'type': 'pca_components', 'value': 256}",11,uniform,chebyshev,brute,0.8136666666666666,0.012355835328567103,0.8190147423605343,0.011405664035126918,0.8151240370068653,0.011906378466029863,0.8151240370068653,0.011906378466029868,0.7933333333333333,0.7981601156899484,0.7954607434976161,0.7954607434976162,ok,
3,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,waveform_spectral_stats,minmax,"{'type': 'pca_components', 'value': 256}",11,uniform,chebyshev,brute,0.3834969733586193,0.4149408026288467,0.2658013642469601,0.17988521510585334,0.20152055292354523,0.20786506031725116,0.4025335457121693,0.41935728931509075,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,ok,
4,stratified_kfold,StratifiedKFold,,5,False,waveform_spectral_stats,minmax,"{'type': 'select_k_best', 'k': 256}",11,distance,cosine,auto,0.8136666666666666,0.01355646627177519,0.8172178566039696,0.013068950204442193,0.8148374623347229,0.013461447946763221,0.814837462334723,0.013461447946763242,0.7916666666666666,0.794022724457507,0.7927166493161023,0.7927166493161023,ok,
4,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,waveform_spectral_stats,minmax,"{'type': 'select_k_best', 'k': 256}",11,distance,cosine,auto,0.4024931829772101,0.42005858786911265,0.35353328883376484,0.15735351633768946,0.2489880503153372,0.2477904365824621,0.4411657781660254,0.40138748744306724,0.06029203956665097,0.1717109776124057,0.05945331230773667,0.06154351400249145,ok,
5,stratified_kfold,StratifiedKFold,,5,False,lowfreq_all_plus_waveform_spectral,standard_l2,"{'type': 'select_k_best', 'k': 44}",9,uniform,cosine,auto,0.8113333333333334,0.009273618495495671,0.8149589221548729,0.006807433016875949,0.8122402935855231,0.009166984663910907,0.8122402935855231,0.009166984663910886,0.795,0.8039799253034546,0.7959712578107881,0.7959712578107881,ok,
5,leave_one_domain_out,LeaveOneGroupOut,dataset,3,True,lowfreq_all_plus_waveform_spectral,standard_l2,"{'type': 'select_k_best', 'k': 44}",9,uniform,cosine,auto,0.39957477011608883,0.41699617053472127,0.3028384012839971,0.21985221307508832,0.2411138979419518,0.2530706210185141,0.42159842149408133,0.41747815329442184,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,ok,
