feature_set,best_random_cv_weighted_f1_mean,best_random_cv_accuracy_mean,best_random_cv_macro_precision_mean,best_random_cv_macro_f1_mean,best_domain_cv_accuracy_mean,best_domain_cv_macro_f1_mean,best_worst_domain_accuracy,best_worst_domain_macro_f1,candidate_count,best_scaler,best_reducer,best_metric,best_n_neighbors
lowfreq_all_plus_logmel,0.7909531940600132,0.7911428571428571,0.7960262504715405,0.7909531940600132,0.18515758433487187,0.12321582322955738,0.059855985598559855,0.07005191324815135,13,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",manhattan,5
lowfreq_all_plus_waveform_spectral,0.7893872532957498,0.7892857142857143,0.7912726419236493,0.7893872532957495,0.149411995213891,0.1118175793611178,0.0594059405940594,0.07167358977892853,10,robust,"{'type': 'select_k_best', 'k': 64}",manhattan,7
lowfreq_all_plus_mfcc,0.7729855867998073,0.7742857142857142,0.7805889349575506,0.7729855867998074,0.17718413527502033,0.12006785743549862,0.05895589558955896,0.07928092377747131,12,standard_l2,{'type': 'none'},minkowski,7
notebook_lowfreq_meanmax_64,0.7589752648298137,0.7585714285714286,0.7625722323668452,0.7589752648298137,0.15205384048412254,0.10109362121373605,0.05850585058505851,0.06635833357306258,15,robust,"{'type': 'pca_components', 'value': 128}",minkowski,11
notebook_exact_44_plus_regions,0.7551250231683895,0.7538571428571428,0.7603460392714985,0.7551250231683895,0.13898149651311142,0.08741298434538945,0.05175517551755175,0.04802259022334191,7,minmax,"{'type': 'select_k_best', 'k': 128}",minkowski,21
waveform_spectral_stats,0.7479624838204365,0.748,0.7499748965631525,0.7479624838204364,0.17906484378123622,0.12944661695662443,0.07965796579657966,0.09406672996998885,10,standard_l2,{'type': 'none'},minkowski,3
lowfreq_all_plus_regions,0.7353872354395564,0.7351428571428571,0.7399363732864558,0.7353872354395563,0.13341245508339394,0.08857033814094306,0.045004500450045004,0.051119489775228684,11,standard,"{'type': 'pca_components', 'value': 64}",euclidean,15
class_region_lowfreq_features,0.7333317305618957,0.7324285714285714,0.7365937149946864,0.7333317305618957,0.15524307669690388,0.10797426369774264,0.0666066606660666,0.0688684941759442,10,standard,{'type': 'none'},minkowski,5
notebook_lowfreq_band_features,0.7273070452642131,0.7274285714285714,0.7314095750284361,0.727307045264213,0.1456834480348873,0.09775848698886404,0.050855085508550855,0.05699948492474449,7,robust,"{'type': 'pca_components', 'value': 32}",manhattan,11
lowfreq_all,0.719318451142428,0.7184285714285714,0.7255609949456812,0.7193184511424278,0.14075263095962331,0.09217007746243988,0.043204320432043204,0.048077180133043,10,minmax,"{'type': 'select_k_best', 'k': 512}",manhattan,15
notebook_exact_26,0.7056096734091486,0.7055714285714285,0.7113954856317721,0.7056096734091488,0.14540100963680222,0.08705821397674991,0.0369036903690369,0.0420018340574479,14,robust,"{'type': 'select_k_best', 'k': 512}",minkowski,9
notebook_exact_44,0.6973801689413832,0.6964285714285714,0.7031514137351216,0.6973801689413832,0.13526209484294496,0.08081588599679547,0.034653465346534656,0.03650541260497391,13,power,"{'type': 'select_k_best', 'k': 64}",minkowski,15
notebook_exact_44_plus_duration,0.6970558073959847,0.6952857142857143,0.7074422885710524,0.6970558073959847,0.11799834385559786,0.07240842975392259,0.0306030603060306,0.02852573780358515,8,robust,"{'type': 'pca_components', 'value': 256}",manhattan,31
notebook_exact_44_dynrange,0.696322623969021,0.696,0.7071824030364121,0.6963226239690208,0.12583520191273276,0.07396446040695036,0.031053105310531053,0.030873271825294975,13,robust,"{'type': 'variance_threshold', 'threshold': 0.0}",manhattan,41
notebook_exact_44_noclip,0.6925067319559103,0.6911428571428571,0.6998203675696951,0.6925067319559106,0.12949674030241595,0.07658930180181549,0.0333033303330333,0.03390118339422347,13,robust,{'type': 'none'},euclidean,21
notebook_lowfreq_mean_20,0.6857801671506125,0.6852857142857143,0.6897298894354883,0.6857801671506125,0.14372155536104445,0.09268274792655003,0.04815481548154815,0.055803573941447505,10,standard,"{'type': 'select_k_best', 'k': 32}",manhattan,15
lowfreq_relative_temporal,0.6802068488712171,0.6785714285714286,0.6877309903496714,0.680206848871217,0.09336306809531385,0.07446235665403089,0.032403240324032405,0.03512162007777762,7,robust,"{'type': 'select_k_best', 'k': 32}",minkowski,31
relative_lowfreq_shape_features,0.6714419529936559,0.6697142857142857,0.682809573067428,0.6714419529936559,0.09654863498410056,0.07665587314646623,0.04455445544554455,0.05005470115374413,10,standard,"{'type': 'select_k_best', 'k': 512}",manhattan,9
notebook_lowfreq_max_20,0.6443799970572661,0.6504285714285715,0.661533189115406,0.6443799970572661,0.1186106146609985,0.09071268524020244,0.06075607560756076,0.07163739377500906,4,normalizer,"{'type': 'pca_components', 'value': 44}",cosine,31
temporal_lowfreq_shape_features,0.2464621838024136,0.25485714285714284,0.24629241786397502,0.2464621838024136,0.02163384272652047,0.029571053648685692,0.003335804299481097,0.0032654129131044077,16,standard_l2,"{'type': 'select_k_best', 'k': 32}",minkowski,41
